Id,TagName,Count,WikiPostId,ExcerptPostId
1,.net,96,679,680
2,asp.net-web-api,27,3028,3029
3,delphi,18,19,20
4,c++,154,14,15
5,string,52,584,585
6,casting,5,6303,6304
7,google-maps,59,890,891
8,angularjs,252,21,22
9,jasmine,2,1700,1701
10,karma-jasmine,2,6752,6753
11,typescript,10,736,737
12,perl,4,305,306
13,ios,143,615,616
14,xcode,83,689,690
15,elixir,1,4209,4210
16,javascript,986,85,86
18,rails,55,3999,4000
20,ruby,35,282,283
21,vistas,3,661,662
23,jquery,479,499,500
24,android,870,115,116
25,socket,15,5007,5008
26,tcpip,5,640,641
27,tcp,5,642,643
28,mysql,389,98,99
29,datetime,11,1671,1672
30,timestamp,4,691,692
31,sql,256,143,144
32,inner-join,3,997,998
34,join,7,9787,9788
35,oracle,52,577,578
36,oracle-10g,6,589,590
37,asp.net,185,493,494
38,bower,2,185,186
39,c++11,10,868,869
41,google-apps-script,22,892,893
42,momentjs,6,729,730
44,http,29,1524,1525
45,post,23,5267,5268
47,kendoui,6,1548,1549
49,bash,34,681,682
50,c#,660,124,125
51,java,1038,172,173
52,spring,40,683,684
53,hibernate,20,671,672
54,python,360,241,242
55,variables,14,7108,7109
58,git,57,182,183
59,commit,2,10050,10051
62,laravel,75,165,166
63,php,863,408,409
64,ajax,172,685,686
65,html,466,163,164
66,css,206,113,114
67,fish,2,,
68,android-intent,12,10022,10023
69,android-asynctask,28,17926,17927
70,linux,89,326,327
71,shell,14,699,700
72,sed,1,697,698
73,awk,1,1683,1684
74,android-layout,69,649,650
75,unidades-de-medición,2,,
77,pharo,1,1152,1153
78,smalltalk,1,695,696
80,regex,31,239,240
81,email,22,705,706
82,validación,25,1673,1674
83,rendimiento,5,10025,10026
84,optimización,11,833,834
88,wcf,11,1679,1680
89,soap,14,687,688
90,soapui,3,1625,1626
96,try-catch,3,,
97,str-replace,3,10042,10043
99,git-commit,8,1001,1002
100,dukescript,2,651,652
101,admob,5,866,867
103,funciones,29,5005,5006
105,jvm,3,630,631
106,jdk,6,1702,1703
107,eclipse,36,918,919
108,depuración,2,2362,2363
109,jboss,5,1609,1610
110,vagrant,3,1591,1592
111,puppet,1,715,716
114,doctrine,9,5394,5395
115,doctrine2,5,5492,5493
116,matemáticas,14,3898,3899
117,coma-flotante,2,5273,5274
119,laravel-5,74,215,216
123,zsh,2,530,531
124,django,205,657,658
128,constructor,4,2394,2395
129,clase-abstracta,2,10036,10037
130,mercurial,3,886,887
131,control-de-versiones,4,1607,1608
132,pip,6,7106,7107
133,ubuntu,38,528,529
134,python-2.7,70,1518,1519
135,entity-framework,47,1391,1392
136,model-view-controller,5,1696,1697
138,formularios,29,1835,1836
139,html5,250,526,527
140,comparaciones,4,6305,6306
141,knockoutjs,5,1540,1541
146,css3,80,964,965
147,3d,2,1619,1620
148,importación,3,,
149,numpy,12,4810,4811
150,array,101,842,843
152,google-newsstand-producer,1,532,533
153,objective-c,20,522,523
154,swift,122,693,694
160,visual-studio,82,928,929
161,programación-funcional,3,524,525
162,android-softkeyboard,3,,
164,nodejs,89,673,674
165,ec2,4,3476,3477
166,npm,7,1654,1655
167,aurelia.io,1,1595,1596
168,select2,13,4879,4880
169,rspec,2,655,656
170,python-3.x,82,1520,1521
171,xml,56,495,496
172,codificación,5,9656,9657
173,utf-8,5,864,865
174,cordova,23,1032,1033
175,algoritmos,16,703,704
176,condiciones,8,6268,6269
177,loops,8,727,728
180,licencias,5,7112,7113
182,código-abierto,1,725,726
184,json,150,748,749
185,gson,3,3221,3222
186,sql-server,165,612,613
187,youtube,5,721,722
188,verilog,2,596,597
190,netbeans,40,669,670
191,plugin,14,713,714
192,c,116,582,583
194,manejo-de-memoria,10,1716,1717
195,pdf,41,388,389
196,reportlab,4,5684,5685
197,azure,23,847,848
199,maven,19,520,521
200,android-auto,1,646,647
201,spring-roo,9,2768,2769
202,gvnix,15,4881,4882
204,pattern,2,,
205,punteros,6,516,517
206,excepciones,11,1714,1715
208,office365,4,6093,6094
209,mongodb,30,711,712
210,genexus,28,605,606
212,devices,1,924,925
217,sequelize.js,1,2638,2639
218,struts,5,723,724
219,hql,3,3277,3278
220,jpa,25,1573,1574
221,seam,2,,
223,dom,7,701,702
226,excel,40,1393,1394
227,vba,15,497,498
231,directorioactivo,4,9783,9784
232,smartcard,3,,
233,java-ee,25,1677,1678
234,servlets,19,719,720
235,yii2,7,1384,1385
236,lenguaje-agnóstico,9,1522,1523
238,google-hoja-de-calculo,19,4805,4806
240,archivo,15,740,741
241,imágenes,2,1616,1617
243,object,8,10029,10030
247,sandbox,1,920,921
249,seguridad,19,4874,4875
255,djangorestframework,20,4870,4871
256,api,41,675,676
257,permisos,11,9797,9798
259,signalr,4,888,889
260,real-time,1,15083,15084
264,hilos,12,5321,5322
266,matrices-asociativas,2,,
267,ordenamiento,10,1603,1604
268,booleano,3,707,708
269,conda,4,1110,1111
270,matplotlib,6,709,710
271,pyqt5,5,,
272,embebido,7,,
273,pouchdb,1,1698,1699
276,github,17,830,831
277,git-push,7,1850,1851
278,git-fork,2,1852,1853
280,sharepoint,6,2529,2530
281,sharepoint-online,1,7925,7926
283,go,13,644,645
285,servicio,7,638,639
286,ssis,8,20481,20482
287,conversión-de-tipos,9,1553,1554
288,i18n,5,1847,1848
290,ide,5,862,863
292,google-forms,2,10034,10035
293,uiwebview,3,5317,5318
294,ios8,5,1681,1682
295,sublimetext,8,797,798
296,sublimetext3,9,1693,1694
297,phpmyadmin,25,1854,1855
300,clase,10,828,829
301,método,5,826,827
302,rsync,1,9872,9873
303,depurar,1,7132,7133
305,asp.net-core,6,1712,1713
306,yii,3,1041,1042
307,yiibooster,1,1386,1387
308,cache,6,801,802
312,wordpress,55,824,825
313,android-sqlite,25,5261,5262
314,haskell,9,884,885
316,estructuras-de-datos,13,1621,1622
320,pillow,1,7098,7099
322,tipos,5,1565,1566
323,navigationview,5,,
324,unix,11,856,857
325,grep,2,1516,1517
326,ascii,3,860,861
328,wpf,27,1389,1390
329,xaml,29,1537,1538
330,asincronismo,4,7118,7119
331,indexeddb,6,877,878
332,vb.net,121,882,883
333,nosql,7,1512,1513
334,reactjs,8,922,923
336,reflexión,4,,
338,automapper,2,,
339,xpath,3,1710,1711
340,orientación-a-objetos,8,1605,1606
341,thymeleaf,3,1688,1689
342,vpn,5,1037,1038
343,django-models,39,1666,1667
344,users-roles,4,,
345,nginx,12,1864,1865
346,logrotate,1,7096,7097
347,configuración,6,9654,9655
348,perl6,3,2224,2225
352,asp.net-mvc-5,87,1571,1572
353,razor,28,2114,2115
