Id,DisplayName,Views,DownVotes,LastAccessDate,ProfileImageUrl,WebsiteUrl,Reputation,Location,Age,UpVotes,CreationDate,AboutMe,AccountId
-1,Comunidad,0,492,2015-10-26T21:36:24.767,,,1,en la granja de servidores,16,0,2015-10-26T21:36:24.767,"<p>Hola, no soy una persona real.</p><br/><br/><p>¡Soy un proceso que ayuda a mantener el sitio limpio!</p><br/><br/><p>Hago cosas como:</p><br/><br/><ul><br/><li>Dar empujoncitos a preguntas antiguas sin respuesta aproximadamente cada hora, para que atraigan algo de atención</li><br/><li>Tener la propiedad de las preguntas y respuestas wiki para que nadie se lleve reputación por ellas</li><br/><li>Recibir la propiedad de los votos negativos en las publicaciones de spam o dañinas que son borradas permanentemente</li><br/><li>Tener la propiedad de las ediciones sugeridas por usuarios anónimos</li><br/><li><a href=""http://meta.stackoverflow.com/a/92006"">Quitar preguntas abandonadas</a></li><br/></ul><br/>",-1
1,Geoff Dalgas,107,0,2016-08-22T19:38:29.680,,http://stackoverflow.com,101,"Corvallis, OR",39,0,2015-10-26T22:50:12.710,"<p>Developer on the Stack Overflow team.  Find me on</p><br/><br/><p><a href=""http://www.twitter.com/SuperDalgas"" rel=""nofollow"">Twitter</a><br/><br><br><br/><a href=""http://blog.stackoverflow.com/2009/05/welcome-stack-overflow-valued-associate-00003/"">Stack Overflow Valued Associate #00003</a></p><br/>",2
2,bluefeet,11,0,2016-06-20T13:49:40.500,,http://onlybluefeet.com,101,Arizona,41,0,2015-10-26T22:51:07.007,"<p>developer, techie, nerd.... Community Manager for Stack Overflow. When I'm not at my desk, I do CrossFit and run.  If you have competed in an event or race and want to tell me about it, you can email me. </p><br/><br/><p>If needed, contact me via email at <code>bluefeet@stackoverflow.com</code>.</p><br/>",188123
3,Jon Ericson,14,0,2016-07-20T19:43:54.723,https://www.gravatar.com/avatar/8989210e0bee8c33c698cfbb79a2afe7?s=128&d=identicon&r=PG,http://jericson.github.io/,101,Downtown Burbank,43,0,2015-10-26T22:52:12.923,"<p>Stack Exchange employs me as a <a href=""http://blog.stackoverflow.com/2013/08/please-welcome-jon-ericson-community-manager/"">Community Manager</a>.  I've been known to respond to <code>jericson@stackexchange.com</code>. Alternatively, I maintain an <a href=""http://chat.meta.stackexchange.com/rooms/738/jons-java-jitter-joint"">office on chat</a>. (Please ignore the meta cruft.)</p><br/><br/><p>I write about my experience as a community manager at <a href=""http://jericson.github.io/"" rel=""nofollow"">jericson.github.io</a>. You can read about what I've done over the years in my <a href=""http://careers.stackoverflow.com/jericson"" title=""Not guaranteed to be current.""><em>curriculum vitae</em></a>.</p><br/><br/><p>On a personal note, I'm married and have three children.  Our oldest son loves school, friends, games, and reading.  (He can't wait to get on our <a href=""http://bricks.stackexchange.com/"">LEGO® Answers</a> site, but he's not quite old enough.  My posts there are usually at his request.)  Two of my children happen to have been born on the same day.  I <a href=""http://taking1and1.wordpress.com/"" rel=""nofollow"" title=""Yet another half-assed blog."">sometimes write</a> about that experience.  </p><br/><br/><p>Don't have time for a full review of something?  Why not try <a href=""http://fivesecondreview.wordpress.com/"" rel=""nofollow"" title=""All reviews accurate and helpful or your money back."">my 5-second reviews</a>?</p><br/><br/><p>Occasionally, I write a post for <a href=""http://christianity.blogoverflow.com/author/jonericson/"" rel=""nofollow"" title=""I haven't been on the rotation for a while, however."">Eschewmenical</a>.</p><br/>",1083
4,Juan M,33,0,2016-09-02T15:12:41.353,https://i.stack.imgur.com/7f2Tn.png?s=128&g=1,,101,Behind the Glass,,26,2015-10-26T23:18:40.547,"<p>Community Manager for Stack Exchange since June 2015. Lover of all things sharp including pencils, wit, and knives but not cheddar.</p><br/><br/><p>You can email me here: jgarza@stackoverflow.com</p><br/>",6254215
5,Nick Craver,8,0,2015-12-04T11:30:38.690,https://i.stack.imgur.com/nGCYr.jpg?s=128&g=1,http://nickcraver.com/blog/,101,"Winston-Salem, NC",31,0,2015-10-26T23:46:20.807,"<p><a href=""http://blog.stackoverflow.com/2011/01/welcome-valued-associate-nick-craver/"">Stack Overflow Valued Associate</a></p><br/><br/><p>Twitter: <a href=""http://twitter.com/Nick_Craver"" rel=""nofollow"">@Nick_Craver</a><br><br/>Public CV: <a href=""http://careers.stackoverflow.com/ncraver"">On StackOverflow Careers</a><br><br/>Flickr: <a href=""http://www.flickr.com/photos/nickcraver/"" rel=""nofollow"">Photos on new house progress, where I work, etc.</a></p><br/><br/><p>I mostly live in the C#/Linq2SQL/Raw SQL world, but at night I secretly masquerade as someone who pretends to know <a href=""http://stackoverflow.com/questions/tagged/javascript"">JavaScript</a> & <a href=""http://stackoverflow.com/questions/tagged/jquery"">jQuery</a>.<br><br/><sub>Disclaimer: I have <em>no idea</em> what I'm talking about, all my answers are guesses!</sub></p><br/>",7598
6,Sklivvz,5,0,2016-06-15T20:13:09.543,,http://sklivvz.com,101,"London, United Kingdom",45,0,2015-10-26T23:57:13.187,"<p><strong><a href=""http://blog.stackoverflow.com/2013/04/get-to-know-the-new-stack-employees/"">Stack Overflow Valued Associate</a></strong></p><br/><br/><ul><br/><li>Contributor since 2008</li><br/><li>Skeptics mod since 2011</li><br/><li>Core dev since March 2013</li><br/></ul><br/><br/><p>You can find me on</p><br/><br/><ul><br/><li><a href=""http://sklivvz.com"" rel=""nofollow"">Personal site</a> (served out of my home broadband)</li><br/><li>Twitter <a href=""http://twitter.com/sklivvz"" rel=""nofollow"">@sklivvz</a></li><br/><li><a href=""https://github.com/sklivvz"" rel=""nofollow"">Github</a></li><br/></ul><br/>",4623
7,m0sa,6,0,2016-08-29T14:55:26.287,,http://m0sa.net/,101,"Maribor, Slovenia",29,0,2015-10-27T07:03:55.417,"<p><a href=""http://blog.stackoverflow.com/2013/09/summer-hiring-happened-so-fast/"">I'm</a> a Web Developer on the Stack Overflow Q&A Core <a href=""http://stackexchange.com/about/team"">team</a>. You can email me via sprelog (at) stackoverflow.com</p><br/>",51875
8,Thomas Orozco,6,0,2015-12-16T15:05:03.267,,,101,"Paris, France",26,0,2015-10-27T08:25:59.317,"<p>My top interests here are:</p><br/><br/><ul><br/><li>Python</li><br/><li>Django</li><br/><li>Software security</li><br/></ul><br/><br/><p>In the past, I used <code>python</code> and <code>django</code> to develop a payment solution at <a href=""https://www.my-bee.fr/pro/"" rel=""nofollow"">MyBee</a> - I'm glad they're still going strong today! I also worked at <a href=""http://scalr.com/"" rel=""nofollow"">Scalr</a> as a Product Manager, and at <a href=""http://www.accenture.com/"" rel=""nofollow"">Accenture</a> as a consultant on business / IT projects.</p><br/><br/><p>Personal email: <code>thomas@orozco.fr</code></p><br/>",467632
9,Oded,9,0,2016-08-11T08:33:46.617,https://i.stack.imgur.com/Au4eT.png?s=128&g=1,http://OdedCoster.com/blog,101,"London, United Kingdom",43,0,2015-10-27T08:30:09.640,"<p><br/>Stack Overflow employee - developer on the Q&A team. Email me on ocoster (at) stackoverflow.com.<br/></p><br/><br/><p><br/>I am a C# ASP.NET developer, with a long professional history of work with web and Microsoft technologies.<br/></p><br/><br/><p><br/>I am passionate about writing usable and secure software and am constantly learning.<br/></p><br/><br/><p><br/>Blog at <a href=""http://OdedCoster.com/blog"" rel=""nofollow"">http://OdedCoster.com/blog</a>.<br/></p><br/><br/><p><br/>I have written a <a href=""http://odedcoster.com/blog/2010/07/28/getting-good-answers-on-stackoverflow-part-1-of-n/"" rel=""nofollow"">blog series</a> about getting good answers on StackOverflow.<br/></p><br/>",1190
