Id,PostId,CreationDate,BountyAmount,UserId,VoteTypeId
1,1,2015-10-29T00:00:00.000,,,2
2,2,2015-10-29T00:00:00.000,,,2
3,3,2015-10-30T00:00:00.000,,,2
4,5,2015-10-30T00:00:00.000,,,2
5,7,2015-10-30T00:00:00.000,,,2
6,8,2015-10-30T00:00:00.000,,25,5
7,3,2015-10-30T00:00:00.000,,,16
8,4,2015-10-30T00:00:00.000,,,2
9,1,2015-10-30T00:00:00.000,,,2
10,1,2015-10-30T00:00:00.000,,,16
11,8,2015-10-30T00:00:00.000,,,16
12,10,2015-10-30T00:00:00.000,,25,5
13,6,2015-10-30T00:00:00.000,,,16
14,11,2015-10-30T00:00:00.000,,,2
15,9,2015-10-30T00:00:00.000,,,2
18,6,2015-10-30T00:00:00.000,,,16
19,11,2015-10-30T00:00:00.000,,,2
20,10,2015-10-30T00:00:00.000,,,2
21,9,2015-10-30T00:00:00.000,,,2
23,17,2015-10-30T00:00:00.000,,,2
24,17,2015-10-30T00:00:00.000,,,1
25,16,2015-10-30T00:00:00.000,,,2
26,18,2015-10-31T00:00:00.000,,,2
27,12,2015-10-31T00:00:00.000,,,2
28,11,2015-10-31T00:00:00.000,,,1
29,12,2015-10-31T00:00:00.000,,,16
30,23,2015-10-31T00:00:00.000,,,2
31,18,2015-10-31T00:00:00.000,,,2
32,18,2015-10-31T00:00:00.000,,,16
33,24,2015-10-31T00:00:00.000,,,2
34,25,2015-10-31T00:00:00.000,,,1
35,25,2015-10-31T00:00:00.000,,,2
36,26,2015-11-01T00:00:00.000,,,10
37,28,2015-11-01T00:00:00.000,,,10
38,29,2015-11-01T00:00:00.000,,,16
39,27,2015-11-01T00:00:00.000,,,2
40,31,2015-11-02T00:00:00.000,,,1
41,31,2015-11-02T00:00:00.000,,,2
42,31,2015-11-02T00:00:00.000,,,2
43,5,2015-11-02T00:00:00.000,,,2
44,7,2015-11-02T00:00:00.000,,,2
45,2,2015-11-02T00:00:00.000,,,2
46,8,2015-11-02T00:00:00.000,,,2
47,29,2015-11-02T00:00:00.000,,,2
48,1,2015-11-02T00:00:00.000,,,16
49,13,2015-11-02T00:00:00.000,,,16
50,17,2015-11-02T00:00:00.000,,,16
51,31,2015-11-02T00:00:00.000,,,2
52,42,2015-11-02T00:00:00.000,,,2
53,35,2015-11-02T00:00:00.000,,,2
54,44,2015-11-02T00:00:00.000,,,2
55,41,2015-11-02T00:00:00.000,,,2
56,34,2015-11-02T00:00:00.000,,,2
57,33,2015-11-02T00:00:00.000,,,2
58,37,2015-11-02T00:00:00.000,,,2
59,41,2015-11-03T00:00:00.000,,,2
60,42,2015-11-03T00:00:00.000,,,2
61,38,2015-11-03T00:00:00.000,,,2
62,43,2015-11-04T00:00:00.000,,,2
63,16,2015-11-04T00:00:00.000,,,2
64,5,2015-11-04T00:00:00.000,,,2
66,40,2015-11-04T00:00:00.000,,,2
67,40,2015-11-04T00:00:00.000,,,1
68,27,2015-11-05T00:00:00.000,,,16
69,35,2015-11-06T00:00:00.000,,,16
70,43,2015-11-06T00:00:00.000,,,2
71,49,2015-11-08T00:00:00.000,,,1
72,52,2015-11-08T00:00:00.000,,,2
73,2,2015-11-08T00:00:00.000,,,1
75,53,2015-11-12T00:00:00.000,,,3
76,50,2015-11-15T00:00:00.000,,,16
77,51,2015-11-15T00:00:00.000,,,16
78,51,2015-11-16T00:00:00.000,,,2
79,37,2015-11-17T00:00:00.000,,,2
80,39,2015-11-17T00:00:00.000,,,2
